,tenure,OnlineSecurity,Contract,MonthlyCharges,TotalCharges
3903,53.0,0,0,80.6,3098
3780,55.0,0,2,55.25,2295
6571,34.0,2,1,55.0,1259
6736,67.0,1,2,20.8,659
5948,70.0,2,2,84.6,3935
6880,72.0,1,2,25.2,1148
4075,53.0,2,0,46.3,1887
143,64.0,2,1,84.3,3702
6225,72.0,2,2,106.1,4830
5541,61.0,0,2,106.6,4326
2063,51.0,2,1,76.4,2849
3661,51.0,0,1,87.55,3187
2789,24.0,0,0,88.95,1470
3377,68.0,1,2,25.05,959
3201,50.0,0,2,79.6,2888
2052,48.0,0,0,103.85,3513
4995,7.0,0,0,75.1,3837
2947,49.0,0,0,90.4,3197
5084,22.0,1,1,20.75,3228
2799,55.0,1,1,19.1,7
5280,33.0,0,1,79.15,1874
5005,39.0,2,1,104.7,2957
317,38.0,2,1,80.3,2251
447,52.0,1,2,25.05,440
3862,70.0,1,2,25.4,1141
5974,10.0,1,0,20.05,1548
580,12.0,1,0,19.0,1687
3657,37.0,1,2,24.1,5202
604,32.0,2,1,109.55,2636
1361,4.0,0,0,78.45,2421
987,1.0,1,0,19.75,1287
5529,2.0,1,0,20.05,3008
5528,44.0,2,1,59.85,1935
28,72.0,2,2,90.25,4295
6779,29.0,2,0,45.0,395
6925,15.0,1,1,18.8,2159
5516,4.0,0,0,51.75,1417
1929,1.0,0,0,81.05,5043
3537,25.0,0,1,53.65,567
3004,1.0,0,0,89.15,5247
5099,11.0,1,0,20.1,1591
4974,3.0,0,0,36.85,142
5776,72.0,2,2,82.3,4097
6063,70.0,1,2,19.2,643
3798,42.0,0,0,100.3,3023
2505,34.0,1,1,20.1,4500
6265,2.0,0,0,45.25,4762
5799,13.0,0,0,35.1,3179
764,65.0,1,2,19.9,468
2461,70.0,1,1,19.7,549
5357,60.0,1,2,19.95,418
3892,17.0,1,0,19.7,2488
2894,48.0,2,1,60.35,2123
5818,65.0,0,2,105.1,4414
5692,9.0,0,0,54.8,3231
6912,9.0,0,0,85.5,4980
3804,10.0,0,0,79.85,4997
251,2.0,0,0,70.4,759
435,26.0,0,0,44.45,304
1036,68.0,2,2,114.7,4941
5107,47.0,0,0,58.6,2027
492,2.0,2,0,74.4,622
1536,69.0,2,2,75.75,3753
5337,20.0,0,0,50.0,8
2959,27.0,2,0,100.75,2068
2908,18.0,2,0,99.4,1102
3898,48.0,1,1,25.05,286
4801,72.0,2,2,80.85,4013
4573,72.0,1,2,20.55,701
2247,40.0,1,2,19.65,5111
4753,4.0,0,0,80.85,2220
5919,67.0,2,2,65.55,3108
3692,3.0,0,0,69.15,1707
4004,72.0,2,2,67.8,3407
841,72.0,2,2,105.0,4846
1716,8.0,0,0,54.75,3119
3195,9.0,0,0,80.55,4363
2056,51.0,0,0,81.0,2920
83,42.0,0,0,103.8,3087
1638,68.0,0,2,84.4,3968
5656,1.0,2,0,49.75,3475
2897,43.0,1,2,26.45,190
3770,57.0,1,2,19.9,202
6114,8.0,0,0,66.65,3655
4690,31.0,0,0,66.4,1430
6514,72.0,2,2,64.7,3368
5575,70.0,2,1,78.35,3789
5638,1.0,1,0,19.95,1291
6358,72.0,2,2,80.45,4035
1674,23.0,1,2,25.1,4174
5157,16.0,2,2,68.25,199
5415,18.0,0,0,50.3,5295
6004,67.0,2,1,84.8,3875
6988,23.0,0,0,69.5,985
903,56.0,2,1,105.6,4147
4214,4.0,0,0,90.05,2674
5339,30.0,0,0,85.45,1855
4058,40.0,0,0,84.85,2425
5984,14.0,0,0,85.15,241
6504,3.0,0,0,79.25,1989
2632,55.0,0,2,64.75,2639
666,2.0,0,0,69.65,732
1974,11.0,0,0,74.95,5096
5888,49.0,0,0,95.6,3392
5826,1.0,0,0,79.35,4967
5503,35.0,1,1,20.05,4794
2352,8.0,1,0,19.7,1022
992,22.0,1,2,25.25,3850
1058,2.0,0,0,89.55,1222
4259,3.0,1,0,19.6,4047
3754,1.0,1,0,20.05,1391
5862,17.0,0,0,70.5,275
5486,54.0,2,2,87.1,3363
1696,3.0,0,0,85.3,1961
275,5.0,0,0,85.4,2871
3337,7.0,0,0,75.35,3904
1362,4.0,0,0,70.2,1726
733,72.0,2,2,79.05,3957
3611,41.0,0,2,99.65,3022
61,60.0,0,0,89.9,3792
4091,20.0,0,0,68.9,586
6444,31.0,0,1,79.45,1919
1804,34.0,1,0,20.65,4680
6878,6.0,0,0,89.5,3955
6176,43.0,0,0,77.85,2465
1491,1.0,1,0,19.55,1283
3208,48.0,0,1,70.55,2506
1315,11.0,1,2,20.9,1433
885,1.0,1,0,20.05,1391
5103,28.0,2,1,82.85,1684
4627,60.0,2,1,116.6,4630
831,38.0,1,2,25.05,5400
4444,3.0,1,0,19.85,4259
3544,31.0,0,0,93.8,2216
6145,67.0,2,2,54.2,2642
5628,13.0,2,0,96.65,396
3303,4.0,0,0,77.95,2245
1105,9.0,0,0,79.75,4882
1532,14.0,1,0,19.6,2197
121,6.0,1,0,20.7,208
2546,25.0,2,0,76.15,1385
4666,25.0,1,0,19.2,3728
1042,14.0,0,0,70.2,78
3311,48.0,2,0,44.8,1502
4461,29.0,0,0,94.2,1937
5848,72.0,2,2,103.95,4819
3730,57.0,0,0,104.5,4059
6202,21.0,2,1,77.5,955
4685,46.0,0,2,108.9,3435
5361,4.0,1,1,20.4,5148
415,16.0,0,0,73.25,324
5102,72.0,2,2,110.15,4958
4226,3.0,0,0,75.85,1901
3601,55.0,1,0,20.0,152
430,61.0,1,0,19.4,301
3036,67.0,2,1,49.35,2438
428,18.0,0,0,75.6,629
1031,27.0,0,0,71.6,1349
5469,33.0,0,0,79.0,1914
7003,26.0,0,0,35.75,40
3167,64.0,2,2,74.35,3379
5804,71.0,1,2,23.9,998
3629,17.0,1,2,25.15,2946
901,9.0,0,0,98.3,5316
373,56.0,0,1,99.75,3882
227,1.0,0,0,55.2,3814
2358,55.0,1,1,19.7,244
3187,34.0,0,0,89.85,2277
2090,48.0,0,0,29.5,679
672,1.0,0,0,75.05,4804
3243,19.0,0,0,39.7,4652
1700,47.0,1,2,20.45,5360
6913,69.0,0,1,108.75,4803
4813,46.0,0,0,99.8,3127
817,55.0,0,1,103.7,3911
1529,59.0,1,2,18.4,96
2874,64.0,1,2,19.45,369
4449,60.0,0,2,104.7,4282
6000,52.0,1,1,19.65,5325
4722,60.0,0,1,70.15,3024
1106,63.0,0,2,97.45,4239
547,65.0,0,1,105.05,4465
4757,1.0,0,0,60.1,4109
2185,24.0,2,0,54.75,541
3744,26.0,0,1,75.5,1428
6383,23.0,2,2,40.1,5194
1488,1.0,2,0,51.25,3607
2806,58.0,2,2,86.1,3464
2261,49.0,0,0,52.15,1916
1743,67.0,1,2,24.85,905
6511,63.0,2,2,50.65,2372
3859,54.0,0,1,94.75,3617
2305,34.0,0,0,97.7,2496
2840,23.0,2,0,84.4,1332
5000,6.0,0,0,49.5,2296
3126,26.0,2,0,38.85,49
6456,50.0,0,2,70.35,2586
3952,72.0,0,2,108.05,4932
6371,24.0,1,2,25.15,3841
5824,66.0,0,2,79.85,3679
4553,72.0,2,2,115.8,5154
6650,6.0,1,0,20.2,373
